customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,total_sessions,avg_session_minutes,total_usage_minutes,avg_pages_per_session,unique_features_used,total_tickets,avg_resolution_hours,avg_satisfaction,health_score,Churn_Binary,HasPhoneService,HasInternetService,IsSenior,HasPartner,HasDependents,UsesPaperlessBilling,HasTickets,charges_per_tenure,charges_vs_monthly,monthly_charges_deviation,pricing_tier,total_services,has_protection_bundle,has_streaming_bundle,has_tech_support,is_month_to_month,has_long_contract,uses_electronic_check,uses_auto_payment,high_risk_payment,is_new_customer,is_loyal_customer,tenure_segment,revenue_per_tenure_month,avg_session_per_month,avg_usage_per_month,is_low_engagement,is_power_user,feature_adoption_rate,tickets_per_month,has_poor_satisfaction,high_ticket_slow_resolution,support_experience_score,total_risk_factors,risk_level,tenure_x_monthly_charges,services_x_tenure,engagement_x_satisfaction
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,8,61.64,493.14,27.25,4,2.0,21.5,3.5,39.1,0,0,1,0,1,0,1,1,14.925,0.9996651038178164,-20.6358075040783,Low,1,1,0,0,1,0,1,0,1,1,0,New (0-6m),14.925,4.0,246.57,1,0,0.6666666666666666,1.0,0,0,119.25,3,Medium Risk,29.85,1,28.0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,38,59.63,2265.8,24.61,6,3.0,61.67,2.33,71.6,0,1,1,0,0,0,0,1,53.98571428571429,33.17240168539326,-12.694615384615375,Medium,2,1,0,0,0,1,0,0,0,0,0,Mature (2-4y),53.98571428571429,1.0857142857142856,64.73714285714286,0,1,1.0,0.08571428571428572,1,0,90.8,1,Low Risk,1936.3000000000002,68,88.54
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,13,68.78,894.12,25.38,5,8.0,28.0,3.12,45.8,1,1,1,0,0,0,1,1,36.050000000000004,2.007983661344226,-3.356302521008402,Medium,2,1,0,0,1,0,0,0,0,1,0,New (0-6m),36.050000000000004,4.333333333333333,298.04,0,0,0.8333333333333334,2.6666666666666665,0,1,97.2,1,Low Risk,107.7,4,40.56
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,18,54.12,974.1,28.17,5,1.0,43.0,5.0,68.3,0,0,1,0,0,0,0,1,40.016304347826086,43.506263294729386,-28.94590163934427,Medium,3,1,0,1,0,1,0,1,0,0,1,Mature (2-4y),40.016304347826086,0.391304347826087,21.17608695652174,1,0,0.8333333333333334,0.021739130434782608,0,0,126.0,1,Low Risk,1903.4999999999998,135,90.0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,8,59.42,475.39,25.75,4,8.0,29.38,2.25,34.4,1,1,1,0,0,0,1,1,50.550000000000004,2.144675434874841,13.4936974789916,High,0,0,0,0,1,0,1,0,1,1,0,New (0-6m),50.550000000000004,2.6666666666666665,158.46333333333334,1,0,0.6666666666666666,2.6666666666666665,1,1,87.81,6,High Risk,141.4,0,18.0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,10,58.65,586.53,22.5,6,3.0,38.33,2.0,46.2,1,1,1,0,0,0,1,1,91.16666666666667,8.232992173389523,42.404878048780496,High,3,1,1,0,1,0,1,0,1,0,0,Growing (6-12m),91.16666666666667,1.1111111111111112,65.17,1,0,1.0,0.3333333333333333,1,0,93.33500000000001,6,High Risk,797.2,24,20.0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,39,51.79,2019.97,28.31,6,3.0,48.67,4.0,75.5,0,1,1,0,0,1,1,1,84.75652173913043,21.876332622601282,27.15999999999999,High,2,1,1,0,1,0,0,1,0,0,0,Established (1-2y),84.75652173913043,1.6956521739130435,87.82478260869566,1,1,1.0,0.13043478260869565,0,0,108.16499999999999,3,Medium Risk,1960.1999999999998,44,156.0
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,8,56.56,452.45,25.25,3,2.0,13.0,1.0,26.6,0,0,1,0,0,0,0,1,27.44545454545454,10.144489247311826,-29.074568965517237,Low,1,1,0,0,1,0,0,0,0,0,0,Growing (6-12m),27.44545454545454,0.7272727272727273,41.13181818181818,1,0,0.5,0.18181818181818182,1,0,98.5,3,Medium Risk,297.5,10,8.0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,48,59.95,2877.37,29.46,6,5.0,15.4,3.2,79.4,1,1,1,0,1,0,1,1,105.03620689655173,29.0625894475718,37.13859649122807,High,4,1,1,1,1,0,1,0,1,0,0,Mature (2-4y),105.03620689655173,1.6551724137931034,99.2196551724138,0,1,1.0,0.1724137931034483,0,0,111.8,2,Medium Risk,2934.4,112,153.60000000000002
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,27,57.59,1554.98,27.48,6,1.0,18.0,3.0,75.4,0,1,1,0,0,1,0,1,55.364285714285714,62.107371794871796,-14.585,Medium,2,1,0,0,0,1,0,1,0,0,1,Veteran (4y+),55.364285714285714,0.42857142857142855,24.682222222222222,0,0,1.0,0.015873015873015872,0,0,118.5,0,Low Risk,3481.2999999999997,124,81.0
