ticketID,customerID,date,issue_type,resolution_time,satisfaction_score,status
TKT71286,7590-VHVEG,2025-09-29,billing,4,4,escalated
TKT20749,7590-VHVEG,2025-09-29,billing,39,3,open
TKT31596,5575-GNVDE,2025-09-29,technical,57,2,resolved
TKT99692,5575-GNVDE,2025-09-29,technical,45,1,resolved
TKT69535,5575-GNVDE,2025-09-29,technical,83,4,open
TKT89037,3668-QPYBK,2025-09-29,technical,44,5,resolved
TKT95784,3668-QPYBK,2025-09-29,performance,10,3,open
TKT76661,3668-QPYBK,2025-09-29,performance,41,3,open
TKT72379,3668-QPYBK,2025-09-29,performance,44,4,resolved
TKT38124,3668-QPYBK,2025-09-29,login_issue,42,1,open
TKT69337,3668-QPYBK,2025-09-29,login_issue,7,1,open
TKT43182,3668-QPYBK,2025-09-29,billing,18,4,escalated
TKT99639,3668-QPYBK,2025-09-29,login_issue,18,4,open
TKT45246,7795-CFOCW,2025-09-29,login_issue,43,5,escalated
TKT15115,9237-HQITU,2025-09-29,feature_request,21,1,resolved
TKT69486,9237-HQITU,2025-09-29,billing,26,3,open
TKT78521,9237-HQITU,2025-09-29,performance,30,2,escalated
TKT20066,9237-HQITU,2025-09-29,feature_request,46,2,escalated
TKT64757,9237-HQITU,2025-09-29,login_issue,6,1,open
TKT44902,9237-HQITU,2025-09-29,login_issue,33,2,open
TKT29903,9237-HQITU,2025-09-29,feature_request,44,2,escalated
TKT32562,9237-HQITU,2025-09-29,feature_request,29,5,escalated
TKT85159,9305-CDSKC,2025-09-29,billing,41,3,resolved
TKT46083,9305-CDSKC,2025-09-29,technical,42,2,open
TKT28520,9305-CDSKC,2025-09-29,login_issue,32,1,escalated
TKT73462,1452-KIOVK,2025-09-29,technical,87,3,escalated
TKT20136,1452-KIOVK,2025-09-29,technical,54,4,escalated
TKT18950,1452-KIOVK,2025-09-29,feature_request,5,5,escalated
TKT26616,6713-OKOMC,2025-09-29,billing,6,1,escalated
TKT14359,6713-OKOMC,2025-09-29,performance,20,1,resolved
