customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,total_sessions,avg_session_minutes,total_usage_minutes,unique_features_used,total_tickets,avg_satisfaction,health_score,churn_prediction,churn_probability,churn_risk_score,predicted_risk_segment,recommended_action,revenue_at_risk,upsell_opportunity
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,Month-to-month,Yes,Electronic check,29.85,29.85,No,8,61.64,493.14,4,2.0,3.5,39.1,0,0.42410798883438694,42.41,Medium Risk,Monitor - Check-in Call,358.20000000000005,None
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,One year,No,Mailed check,56.95,1889.5,No,38,59.63,2265.8,6,3.0,2.33,71.6,0,0.05221614982683209,5.22,Low Risk,Maintain - Standard Service,683.4000000000001,Add Protection Bundle; Add Streaming Services; Add Tech Support
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,13,68.78,894.12,5,8.0,3.12,45.8,1,0.9967409376186244,99.67,High Risk,Urgent - Retention Campaign,646.2,None
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,One year,No,Bank transfer (automatic),42.3,1840.75,No,18,54.12,974.1,5,1.0,5.0,68.3,0,0.0019744466000801565,0.2,Low Risk,Maintain - Standard Service,507.59999999999997,Add Streaming Services
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,8,59.42,475.39,4,8.0,2.25,34.4,1,0.9962148528218715,99.62,High Risk,Urgent - Retention Campaign,848.4000000000001,None
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,10,58.65,586.53,6,3.0,2.0,46.2,1,0.870334554589187,87.03,High Risk,Urgent - Retention Campaign,1195.8000000000002,None
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,39,51.79,2019.97,6,3.0,4.0,75.5,1,0.5681515986570618,56.82,Medium Risk,High Priority - Engagement Outreach,1069.1999999999998,None
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Month-to-month,No,Mailed check,29.75,301.9,No,8,56.56,452.45,3,2.0,1.0,26.6,0,0.17019914481001241,17.02,Low Risk,Maintain - Standard Service,357.0,Add Protection Bundle; Add Streaming Services
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,48,59.95,2877.37,6,5.0,3.2,79.4,1,0.9968008346246701,99.68,High Risk,Urgent - Retention Campaign,1257.6,None
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,One year,No,Bank transfer (automatic),56.15,3487.95,No,27,57.59,1554.98,6,1.0,3.0,75.4,0,0.0038170844397382784,0.38,Low Risk,Maintain - Standard Service,673.8,Add Protection Bundle; Add Streaming Services
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Month-to-month,Yes,Mailed check,49.95,587.45,No,20,65.51,1310.23,6,1.0,2.0,53.6,0,0.002514164537284641,0.25,Low Risk,Maintain - Standard Service,599.4000000000001,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
7469-LKBCI,Male,0,No,No,16,Yes,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,13,64.76,841.91,5,2.0,4.5,55.2,0,0.025621863868407983,2.56,Low Risk,Maintain - Standard Service,227.39999999999998,Add Protection Bundle
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,One year,No,Credit card (automatic),100.35,5681.1,No,42,54.44,2286.55,6,3.0,4.0,87.3,0,0.1146785612696532,11.47,Low Risk,Maintain - Standard Service,1204.1999999999998,Add Tech Support
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,45,57.62,2592.92,6,4.0,2.75,81.6,1,0.9953001447228509,99.53,High Risk,Urgent - Retention Campaign,1244.4,None
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,105.5,2686.05,No,47,69.26,3254.99,6,0.0,5.0,85.1,0,0.0027577578461164555,0.28,Low Risk,Maintain - Standard Service,1266.0,Upgrade to Annual Contract
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Two year,No,Credit card (automatic),113.25,7895.15,No,21,57.37,1204.8,6,1.0,3.0,73.8,0,0.0030920855826939197,0.31,Low Risk,Maintain - Standard Service,1359.0,None
8191-XWSZG,Female,0,No,No,52,Yes,No,No,One year,No,Mailed check,20.65,1022.95,No,14,56.55,791.68,6,1.0,3.0,64.8,0,0.002169085180528814,0.22,Low Risk,Maintain - Standard Service,247.79999999999998,Add Protection Bundle
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),106.7,7382.25,No,21,48.82,1025.18,5,1.0,5.0,77.3,0,0.002330650495150203,0.23,Low Risk,Maintain - Standard Service,1280.4,None
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,13,65.71,854.27,5,2.0,3.0,47.6,0,0.025107868776335526,2.51,Low Risk,Maintain - Standard Service,662.4000000000001,Add Protection Bundle; Add Streaming Services
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,90.05,1862.9,No,33,58.68,1936.46,6,0.0,5.0,75.6,0,0.0030162592812938223,0.3,Low Risk,Maintain - Standard Service,1080.6,Upgrade to Annual Contract
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,6,53.34,320.04,6,4.0,2.25,42.9,1,0.9986822357960781,99.87,High Risk,Urgent - Retention Campaign,475.79999999999995,None
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,16,42.58,681.26,6,1.0,4.0,58.9,0,0.0024938667479792597,0.25,Low Risk,Maintain - Standard Service,237.60000000000002,Add Protection Bundle
1066-JKSGK,Male,0,No,No,1,Yes,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,9,51.12,460.09,4,8.0,3.62,40.2,1,0.9962523709812596,99.63,High Risk,Urgent - Retention Campaign,241.79999999999998,None
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),59.9,3505.1,No,34,61.43,2088.77,6,2.0,3.5,80.5,0,0.020815427351562096,2.08,Low Risk,Maintain - Standard Service,718.8,Add Protection Bundle; Add Streaming Services
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,24,74.42,1786.12,6,3.0,4.0,74.0,0,0.023538563302257304,2.35,Low Risk,Maintain - Standard Service,715.2,Add Streaming Services; Upgrade to Annual Contract
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,21,57.77,1213.24,6,2.0,2.0,58.9,0,0.06475235691437108,6.48,Low Risk,Maintain - Standard Service,663.5999999999999,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,40,63.27,2530.62,6,8.0,2.88,78.6,1,0.9965542713359767,99.66,High Risk,Urgent - Retention Campaign,1192.1999999999998,None
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,Month-to-month,No,Electronic check,30.2,30.2,Yes,19,72.66,1380.55,5,2.0,1.0,40.7,1,0.7311156948121034,73.11,High Risk,Urgent - Retention Campaign,362.4,None
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),90.25,6369.45,No,22,45.93,1010.47,6,0.0,5.0,83.2,0,0.002283739741328677,0.23,Low Risk,Maintain - Standard Service,1083.0,None
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,42,51.99,2183.39,6,4.0,2.5,69.9,1,0.995891431476356,99.59,High Risk,Urgent - Retention Campaign,776.4000000000001,None
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Two year,Yes,Credit card (automatic),96.35,6766.95,No,28,59.74,1672.78,6,1.0,5.0,86.5,0,0.0037014206554384457,0.37,Low Risk,Maintain - Standard Service,1156.1999999999998,Add Streaming Services
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,11,50.58,556.37,6,2.0,2.0,45.2,1,0.7120515798162185,71.21,High Risk,Urgent - Retention Campaign,1146.0,None
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,One year,No,Mailed check,66.15,1874.45,No,49,53.67,2629.77,6,1.0,2.0,74.9,0,0.0022808731005174916,0.23,Low Risk,Maintain - Standard Service,793.8000000000001,Add Streaming Services
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,7,61.38,429.63,5,0.0,5.0,49.5,0,0.003615554094352251,0.36,Low Risk,Maintain - Standard Service,242.39999999999998,Add Protection Bundle
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,8,68.97,551.77,5,3.0,2.0,38.1,0,0.2156448501563379,21.56,Low Risk,Maintain - Standard Service,543.0,Add Protection Bundle; Add Streaming Services; Add Tech Support
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),99.9,7251.7,No,39,68.11,2656.45,6,0.0,5.0,93.4,0,0.0025271510343672678,0.25,Low Risk,Maintain - Standard Service,1198.8000000000002,None
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,8,61.95,495.57,4,3.0,2.67,36.9,0,0.4930268235456071,49.3,Medium Risk,Monitor - Check-in Call,836.4000000000001,None
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,37,63.16,2336.82,6,1.0,3.0,77.0,0,0.00817718180916337,0.82,Low Risk,Maintain - Standard Service,897.5999999999999,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,48,62.55,3002.44,6,5.0,3.6,82.6,1,0.9951780163930152,99.52,High Risk,Urgent - Retention Campaign,1276.1999999999998,None
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,16,75.19,1203.02,6,6.0,4.0,58.7,1,0.9975836051430481,99.76,High Risk,Urgent - Retention Campaign,1174.1999999999998,None
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,One year,No,Mailed check,49.55,475.7,No,16,62.04,992.69,6,1.0,4.0,58.4,0,0.002286726260534509,0.23,Low Risk,Maintain - Standard Service,594.5999999999999,Add Protection Bundle; Add Streaming Services
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),69.2,4872.35,No,21,64.95,1364.05,6,0.0,5.0,82.0,0,0.0028149677648920115,0.28,Low Risk,Maintain - Standard Service,830.4000000000001,None
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,One year,No,Mailed check,20.75,418.25,No,8,56.88,455.07,5,2.0,4.5,52.5,0,0.013192756710888834,1.32,Low Risk,Maintain - Standard Service,249.0,Add Protection Bundle
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),79.85,4861.45,No,39,59.87,2334.81,6,0.0,5.0,90.9,0,0.004472001872119039,0.45,Low Risk,Maintain - Standard Service,958.1999999999999,None
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,76.2,981.45,No,41,59.4,2435.21,6,0.0,5.0,78.2,0,0.002635032153157793,0.26,Low Risk,Maintain - Standard Service,914.4000000000001,Upgrade to Annual Contract
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.5,3906.7,No,35,60.43,2114.99,6,3.0,3.0,76.6,1,0.5427652025391213,54.28,Medium Risk,High Priority - Engagement Outreach,1014.0,None
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,Month-to-month,No,Mailed check,49.25,97.0,No,6,66.23,397.37,5,0.0,5.0,49.2,0,0.0032920361138902643,0.33,Low Risk,Maintain - Standard Service,591.0,Add Protection Bundle; Add Streaming Services
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,13,66.71,867.26,6,6.0,3.5,52.4,1,0.9967133762027759,99.67,High Risk,Urgent - Retention Campaign,967.8000000000001,None
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),79.75,4217.8,No,40,65.36,2614.33,6,0.0,5.0,88.4,0,0.004213658137108718,0.42,Low Risk,Maintain - Standard Service,957.0,None
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Two year,Yes,Credit card (automatic),64.15,4254.1,No,33,66.53,2195.33,6,0.0,5.0,89.0,0,0.0030834378159228567,0.31,Low Risk,Maintain - Standard Service,769.8000000000001,Add Streaming Services
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.25,3838.75,No,42,66.9,2809.7,6,3.0,3.0,79.1,0,0.485730939302707,48.57,Medium Risk,Monitor - Check-in Call,1083.0,None
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,27,55.86,1508.23,6,7.0,2.57,60.6,1,0.9967114787295891,99.67,High Risk,Urgent - Retention Campaign,1189.1999999999998,None
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,21,67.45,1416.42,6,3.0,4.67,68.2,0,0.07985848306966427,7.99,Low Risk,Maintain - Standard Service,834.0,Upgrade to Annual Contract
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,14,49.74,696.34,6,4.0,2.5,50.6,1,0.9965026098569787,99.65,High Risk,Urgent - Retention Campaign,967.8000000000001,None
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,One year,Yes,Credit card (automatic),74.85,4456.35,No,46,66.62,3064.71,6,3.0,2.67,84.9,0,0.020750306332769353,2.08,Low Risk,Maintain - Standard Service,898.1999999999999,None
