feature,importance
total_tickets,0.3457616071254667
tickets_per_month,0.09520549441122085
high_ticket_slow_resolution,0.062497495220200074
is_month_to_month,0.05896744701657109
support_experience_score,0.04782402131977064
has_long_contract,0.04462901359679449
avg_satisfaction,0.04440530471755637
total_risk_factors,0.0359149317604772
avg_resolution_hours,0.03020089119032586
monthly_charges_deviation,0.022116395171757886
high_risk_payment,0.018070521754329362
UsesPaperlessBilling,0.014005053623806166
avg_session_per_month,0.01366366840390048
HasTickets,0.01345482438178114
tenure,0.013046033889804649
avg_usage_per_month,0.011316313692044912
MonthlyCharges,0.01027000159169616
revenue_per_tenure_month,0.008529485401709487
uses_electronic_check,0.00815634562780058
charges_per_tenure,0.007427609211541981
risk_level_encoded,0.006926534661480018
charges_vs_monthly,0.006151587052745807
tenure_x_monthly_charges,0.005988387033005217
tenure_segment_encoded,0.005725706764512791
TotalCharges,0.005614519549543157
pricing_tier_encoded,0.005228691664408661
is_new_customer,0.004657812665278141
engagement_x_satisfaction,0.004610839957382092
services_x_tenure,0.0045714104521160795
health_score,0.004515428911150279
is_loyal_customer,0.0036018504595024766
HasInternetService,0.0035169301754144665
total_services,0.003371607529635999
HasDependents,0.0033336989079201917
total_sessions,0.002965015681604387
avg_session_minutes,0.00292572436593615
has_tech_support,0.00270156725652107
has_streaming_bundle,0.002678115956577531
avg_pages_per_session,0.0026685785443801052
total_usage_minutes,0.0026344551162574537
has_protection_bundle,0.0019134433881199194
HasPartner,0.0014505594918927656
unique_features_used,0.001091455658374429
has_poor_satisfaction,0.001081701600362694
uses_auto_payment,0.000992661309190705
feature_adoption_rate,0.0009912497380652281
HasPhoneService,0.0007757584148932815
is_low_engagement,0.0005544572345991419
SeniorCitizen,0.0004701210304798866
is_power_user,0.00042303864659189053
IsSenior,0.0004046316735020845
