customerID,tenure,MonthlyCharges,Contract,churn_probability,churn_risk_score,predicted_risk_segment,recommended_action,total_tickets,avg_satisfaction,health_score,revenue_at_risk
0871-URUWO,13,102.25,Month-to-month,0.9989502140186898,99.9,High Risk,Urgent - Retention Campaign,5.0,3.8,67.4,1227.0
0302-JOIVN,8,101.15,Month-to-month,0.9988271543007509,99.88,High Risk,Urgent - Retention Campaign,8.0,3.12,32.7,1213.8000000000002
8779-QRDMV,1,39.65,Month-to-month,0.9986822357960781,99.87,High Risk,Urgent - Retention Campaign,4.0,2.25,42.9,475.79999999999995
3677-IYRBF,2,30.4,Month-to-month,0.9986292722615476,99.86,High Risk,Urgent - Retention Campaign,8.0,3.62,55.2,364.79999999999995
4592-IWTJI,3,29.7,Month-to-month,0.9984257580992254,99.84,High Risk,Urgent - Retention Campaign,5.0,2.0,38.6,356.4
9101-BWFSS,50,108.55,One year,0.9984022960921383,99.84,High Risk,Urgent - Retention Campaign,4.0,1.75,68.3,1302.6
3346-BRMIS,18,48.35,Month-to-month,0.9983763316419283,99.84,High Risk,Urgent - Retention Campaign,8.0,2.25,51.8,580.2
0032-PGELS,1,30.5,Month-to-month,0.9983201114471645,99.83,High Risk,Urgent - Retention Campaign,7.0,3.43,56.0,366.0
9124-LHCJQ,1,85.45,Month-to-month,0.9983088812007767,99.83,High Risk,Urgent - Retention Campaign,5.0,3.2,45.9,1025.4
1725-MIMXW,1,19.45,Month-to-month,0.9982937716281166,99.83,High Risk,Urgent - Retention Campaign,6.0,3.17,52.6,233.39999999999998
8443-WVPSS,10,99.85,Month-to-month,0.9982838472896086,99.83,High Risk,Urgent - Retention Campaign,6.0,1.83,39.3,1198.1999999999998
3797-VTIDR,1,23.45,Month-to-month,0.9982672020799997,99.83,High Risk,Urgent - Retention Campaign,6.0,2.67,51.2,281.4
7240-FQLHE,18,99.75,Month-to-month,0.9982667915075398,99.83,High Risk,Urgent - Retention Campaign,8.0,3.0,69.8,1197.0
3801-HMYNL,1,89.15,Month-to-month,0.9982398355174845,99.82,High Risk,Urgent - Retention Campaign,7.0,3.43,46.2,1069.8000000000002
0812-WUPTB,1,70.85,Month-to-month,0.9982353809199311,99.82,High Risk,Urgent - Retention Campaign,4.0,2.75,29.3,850.1999999999999
0661-XEYAN,1,25.8,Month-to-month,0.9982351038042566,99.82,High Risk,Urgent - Retention Campaign,6.0,3.17,44.6,309.6
3737-GCSPV,11,96.2,Month-to-month,0.9982346454437353,99.82,High Risk,Urgent - Retention Campaign,5.0,3.2,54.3,1154.4
4729-XKASR,1,24.75,Month-to-month,0.9982301361813637,99.82,High Risk,Urgent - Retention Campaign,5.0,2.4,51.9,297.0
0679-IDSTG,1,69.25,Month-to-month,0.9982297150141277,99.82,High Risk,Urgent - Retention Campaign,8.0,3.5,55.1,831.0
7568-PODML,1,45.3,Month-to-month,0.9982231628197492,99.82,High Risk,Urgent - Retention Campaign,5.0,2.6,47.7,543.5999999999999
4902-OHLSK,29,98.65,Month-to-month,0.9981999621826049,99.82,High Risk,Urgent - Retention Campaign,6.0,3.5,76.7,1183.8000000000002
0963-ZBDRN,32,96.2,Month-to-month,0.998196738187134,99.82,High Risk,Urgent - Retention Campaign,7.0,2.0,74.5,1154.4
9274-CNFMO,4,74.95,Month-to-month,0.9981901067321296,99.82,High Risk,Urgent - Retention Campaign,7.0,4.14,59.1,899.4000000000001
6289-CPNLD,33,73.9,One year,0.9981732110515222,99.82,High Risk,Urgent - Retention Campaign,7.0,2.29,63.9,886.8000000000001
3422-LYEPQ,1,71.0,Month-to-month,0.9981477286875482,99.81,High Risk,Urgent - Retention Campaign,4.0,2.25,32.3,852.0
3049-SOLAY,3,95.2,Month-to-month,0.9981439326621309,99.81,High Risk,Urgent - Retention Campaign,7.0,3.86,54.1,1142.4
4236-XPXAV,5,99.15,Month-to-month,0.9981407870181949,99.81,High Risk,Urgent - Retention Campaign,4.0,2.75,52.6,1189.8000000000002
5167-ZFFMM,1,90.85,Month-to-month,0.9981377908545279,99.81,High Risk,Urgent - Retention Campaign,8.0,2.0,48.5,1090.1999999999998
3186-BAXNB,1,91.7,Month-to-month,0.9981311779857225,99.81,High Risk,Urgent - Retention Campaign,6.0,3.17,37.2,1100.4
3891-PUQOD,1,59.2,Month-to-month,0.9981302812065416,99.81,High Risk,Urgent - Retention Campaign,4.0,2.75,53.3,710.4000000000001
9300-AGZNL,1,94.0,Month-to-month,0.998128696249931,99.81,High Risk,Urgent - Retention Campaign,6.0,3.0,54.3,1128.0
7632-MNYOY,66,110.9,One year,0.9981273424403868,99.81,High Risk,Urgent - Retention Campaign,7.0,2.14,81.5,1330.8000000000002
6849-OYAMU,19,100.0,One year,0.9981253933806782,99.81,High Risk,Urgent - Retention Campaign,6.0,3.0,59.9,1200.0
2207-NHRJK,1,50.8,Month-to-month,0.9981028597300916,99.81,High Risk,Urgent - Retention Campaign,8.0,2.5,50.5,609.5999999999999
