customerID,tenure,MonthlyCharges,Contract,total_services,churn_risk_score,health_score,upsell_opportunity
2615-YVMYX,71,107.5,Month-to-month,5,0.34,99.7,Upgrade to Annual Contract
4833-QTJNO,67,83.85,Month-to-month,2,0.44,98.6,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
2988-GBIVW,70,90.85,Month-to-month,2,0.63,98.2,Add Protection Bundle; Upgrade to Annual Contract
9795-SHUHB,66,58.2,Two year,3,0.89,97.7,Add Streaming Services
3144-KMTWZ,71,93.25,Month-to-month,3,0.38,97.3,Upgrade to Annual Contract
2636-SJDOU,64,84.3,One year,2,0.41,97.2,Add Protection Bundle; Add Streaming Services
1110-KYLGQ,63,108.25,Month-to-month,5,0.36,96.9,Upgrade to Annual Contract
6847-KJLTS,58,100.4,Month-to-month,3,0.56,96.1,Upgrade to Annual Contract
6627-CFOSN,59,99.45,Month-to-month,4,0.47,95.8,Upgrade to Annual Contract
5795-BKOYE,69,59.1,One year,3,0.27,95.6,Add Streaming Services
8259-DZLIZ,64,53.85,One year,1,0.33,95.4,Add Protection Bundle; Add Streaming Services
8659-HDIYE,64,74.65,Month-to-month,4,0.34,95.4,Upgrade to Annual Contract
8883-ANODQ,68,84.4,Two year,2,5.69,95.1,Add Protection Bundle; Add Streaming Services
6332-FBZRI,67,69.35,One year,4,0.33,95.0,Add Streaming Services
5181-OABFK,56,61.3,Two year,3,0.33,95.0,Add Streaming Services
8023-QHAIO,56,76.85,Month-to-month,1,0.52,94.4,Add Protection Bundle; Add Streaming Services; Upgrade to Annual Contract
3399-BMLVW,51,60.5,Two year,3,3.86,94.2,Add Streaming Services
4102-HLENU,67,65.65,Two year,3,0.26,94.0,Add Streaming Services
0201-MIBOL,66,102.4,Two year,3,22.54,93.9,Add Tech Support
9968-FFVVH,63,68.8,One year,4,0.24,93.9,Add Streaming Services
5446-DKWYW,61,65.2,One year,2,0.41,93.9,Add Protection Bundle
5827-MWCZK,56,96.95,Month-to-month,3,0.4,93.8,Upgrade to Annual Contract
8619-IJNDK,71,64.05,Two year,4,0.23,93.7,Add Streaming Services
